ID, Station Name
1 , الغاز
2 , المريسة
3 , الوسط التجاري
4 , الغربية
5 , البسطة
6 , الاونيسكو
7 , الحرج
8 , الشباك
9 , راس بيروت
10 , البوشرية
11 , الحازمية
12 , الجمهور
13 , الجديدة
14 , بصاليم
15 , الذوق
16 , جعيتا
17 , بطحا
18 , بكفيا
19 , المكلس
20 , حقل الريس
21 , ادما
22 , حالات
23 , عمشيت
24 , المطار
25 , الشويفات
26 , الدامور
27 , سبلين
28 , عاليه
29 , عرمون
30 , صور
31 , بيت الدين
32 , رشميا
33 , البترون
34 , البارد
35 , القبيات
36 , الهرمل
37 , اللبوة
38 , بعلبك
39 , كسارة
40 , جب جنين
41 , عبد العال
42 , مرجعيون
43 , صيدا
44 , المصيلح
45 , النبطية
46 , وادي جيلو
47 , الاولي
48 , طرابلس الرئيسية
49 , ريجيونال الميناء
50 ,  M30 ريجونال
52 , ريجيونال البحصاص
53 , اورانج ناسو
56 , شكا
58 , الوحدة الرابعة-الحريشة
59 , ريجيونال كوسبا
62 , معمل ابو علي
65 , معمل بلوزا
66 , معمل بشري
67 , نقالة فيع
69 , بدنايل
70 , كسارة الجديدة
71 , عنجر
72 , الزهراني
73 , السلطانية
74 , صوفر
75 , نهر ابراهيم 3
76 , بزيزا
77 , دير نبوح
78 , دير عمار
79 , حلبا
80 , الطيبة
81 , بيت ملات
82 , فيطرون
83 , الأشرفية
84 , الضاحية
85 , بقسميّا
86 , البحصاص
87 , صيدا الجديدة
